GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
torpedo-jatek,vaczi.balazs,SegedMetodusok,12,143,7,22,2,32,7,18,0,6
torpedo-jatek,vaczi.balazs,Hajok,103,0,16,0,33,0,20,0,12,0
torpedo-jatek,vaczi.balazs,Hely,82,0,6,0,34,0,18,0,15,0
torpedo-jatek,vaczi.balazs,Jatekmezo,548,0,64,0,100,0,50,0,18,0
torpedo-jatek,vaczi.balazs,Main,615,0,76,0,157,0,47,0,9,0
torpedo-jatek,vaczi.balazs,Jatekos,132,0,12,0,25,0,11,0,5,0
